Artifact Image Tag,Diff URL,Commit Fix Date,Total Runs,LLM,LLM Knowledge Cutoff Date,Methodology,Detection Rate - Diff,Detection Rate - Trace,Bug Report Example
SonarSource-sonar-java-352869330,https://github.com/SonarSource/sonar-java/compare/1b779ea9bb872ee7495a9e223bd8e6c1ed8fb51c...d73af7092a49eda073c3624c99c78bf0fc7e2abd,2018-03-13,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: CheckListTest.java Line: 6
SonarSource-sonar-java-382233150,https://github.com/SonarSource/sonar-java/compare/4ea214cf6b962899dfb9323674cde951d91d05d2...c2da3dc983f39aa44a322c010623187238890f99,2018-05-25,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: PrintfMisuseCheck.java Line: 122
UNC-Libraries-Carolina-Digital-Repository-328164630,https://github.com/UNC-Libraries/Carolina-Digital-Repository/compare/b1ad22d7660e06084ed98521093fc1cbda58d5a4...aa8e6b9ce9543d6ab3f7d08886349c5b645b604f,2018-01-12,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: SolrUpdateDriverTest.java Line: 82
UNC-Libraries-Carolina-Digital-Repository-396988274,https://github.com/UNC-Libraries/Carolina-Digital-Repository/compare/0415328d953d93fd9bd57456d314075fff3e3ec1...8e0009c98017e5602d0f6241e033c5bad54eb1dd,2018-06-27,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: MetaServicesRouterTest.java Line: 6
swagger-api-swagger-core-390509591,https://github.com/swagger-api/swagger-core/compare/a16ef3b26633ed0b5b9bd25a56e04337cff1e0d5...24f7f1651149fb3e6a2a77553991e6ded7dbc9d4,2018-06-10,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.8,0.0,File: Paths.java Line: 11
thm-projects-arsnova-backend-343416327,https://github.com/thm-projects/arsnova-backend/compare/d4f6ef46e6c1e526ce6419540d2ba21fa9a9c615...d8382554d122e9856abe64da9147a7a64976d4ae,2018-02-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.2,File: Answer.java Line: 6
SonarSource-sonar-java-297969404,https://github.com/SonarSource/sonar-java/compare/c21d646e10c5a4edf35d357c79f9f9e9761f0de8...dfecfbad53ca72e93a8ff596bcc73c0fafb9901a,2017-11-06,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,0.2,File: BytecodeEGWalker.java Line: 3
brettwooldridge-HikariCP-446093147,https://github.com/brettwooldridge/HikariCP/compare/943f09b60a37d8273beda55c3c7abb618b9772c6...c6beb2fbc86ccbce21618844ba4078e3f8515e4e,2018-10-25,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,1.0,File: TestConnections.java Line: 6
Adobe-Consulting-Services-acs-aem-commons-461893216,https://github.com/Adobe-Consulting-Services/acs-aem-commons/compare/6b6e697b46c6c7dbd6443b575980c251fb2f2afe...6f7de0eac1f48f9d3addcc02988ef8a2e85ac1c9,2018-11-30,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,1.0,File: FileAssetIngestorTest.java Line: 258
SynBioDex-libSBOLj-109899408,https://github.com/SynBioDex/libSBOLj/compare/1bf208d3cd78d862cb72167e06708b80ca097032...a5bac98ace18ec06e2e1b5038f8f34fcaf655107,2016-02-17,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: ValidationTest.java Line: 81
ontop-ontop-475275870,https://github.com/ontop/ontop/compare/df680b16f128b282afa0070cbf1fb2aadfb90a36...93703c72e4bcc6bdd1de175c8931a87805d4f4c4,2019-01-08,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: RDF4JClassicABoxTest.java Line: 121
joyent-java-manta-476591899,https://github.com/joyent/java-manta/compare/eaa050705cc3667fa79fae69e5a72d3f49a256fe...5dfabb64158ade60660d9f9e1e31c50f775bf6d2,2019-01-07,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: MantaVersion.java Line: 6
joel-costigliola-assertj-core-547866283,https://github.com/joel-costigliola/assertj-core/compare/cbdac224418abb03a6261ec498bd5f8fe73d0397...565162204221f0a3e4670ebafa0b3d82244738eb,2019-06-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,0.4,File: Paths_assertIsEmptyDirectory_Test.java Line: 89
apache-jackrabbit-oak-337535542,https://github.com/apache/jackrabbit-oak/compare/e51aa178b72e2e13bc8357ed5fdb004751402904...fa8a8391bd37264b819f9e0543c76649ef9a357b,2018-02-05,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: RDBDocumentStore.java Line: 3
apache-jackrabbit-oak-293747830,https://github.com/apache/jackrabbit-oak/compare/09a036f63ee3822d9d0fd8ed1fde37e90025b7c9...ef77da3e93fbd80b09afb79b337528bb8fad6fbe,2017-10-27,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.2,File: UpgradeFromTwoSourcesTest.java Line: 101
graphhopper-graphhopper-210124629,https://github.com/graphhopper/graphhopper/compare/db359967aa2fff822112eb91446873d717a4c1af...ad8dd9572136db392c38cd15dbefb1d5f8fa0206,2017-03-15,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: DataFlagEncoder.java Line: 3
apache-incubator-shardingsphere-250416678,https://github.com/apache/incubator-shardingsphere/compare/b47922a4a4a639cdc504a7eeb5542db97571ec42...f6e87e37eb0359da2ced89eebc56961e9bf0160c,2017-07-05,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: PreparedStatementAdapterTest.java Line: 6
apache-incubator-shardingsphere-259221979,https://github.com/apache/incubator-shardingsphere/compare/0e1a06c2ebcc172a9804337f82b0f93aac8d5c6e...dc04040fba52a0b27e73c75798cadabceaabbea9,2017-07-31,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,1.0,File: AbstractSQLAssertTest.java Line: 198
speedment-speedment-495541641,https://github.com/speedment/speedment/compare/7e79d841b205394ea5568179c2c858c590b44d9f...d4866e181b66445ed8d5679e9adbb35825b973c1,2019-02-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: RuntimeBundle.java Line: 3
mitreid-connect-OpenID-Connect-Java-Spring-Server-358117230,https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server/compare/c9007883442337ef4846e47aba47305605006d04...e1741ce601cb3e15ba3f7d35ade6e473aa765e77,2018-04-04,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,0.2,File: ClientDetailsEntityJsonProcessorTest.java Line: 3
IQSS-dataverse-402758963,https://github.com/IQSS/dataverse/compare/1d830baa6adccb518043a8ca07044106ac61d0ec...1282426e1f857661c72e024ebd2ed894effe1acf,2018-07-11,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,0.0,File: JsonParser.java Line: 3
IQSS-dataverse-443683466,https://github.com/IQSS/dataverse/compare/8197bca3e97d283acbdf2db0cc8d5d87dd5ff809...94fd9662a08dcd1f6e5d9d3a894b209bc4a30ee9,2018-10-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.2,0.6,File: PrivateUrlUtilTest.java Line: 207
ibissource-iaf-607116359,https://github.com/ibissource/iaf/compare/56b4960cac151c529029540915f7152a47c07470...013b244f2881cb0bcecab0bca2d78a4529cc4ece,2019-11-04,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,0.0,File: IbisConsoleTest.java Line: 83
ibissource-iaf-612418518,https://github.com/ibissource/iaf/compare/4f2c1e13e9707a6abeb46df3f33b4b0c6d8fd617...1e1328eddd181547b4613bae97f3476de977e025,2019-11-15,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.6,File: XsltTestBase.java Line: 100
OpenTSDB-opentsdb-706287386,https://github.com/OpenTSDB/opentsdb/compare/07250670e52fefef8a230109d946d6ee54cb570c...42769ab1e9a7019fec256c9e21a624bcc563306e,2020-07-08,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.8,File: TimeSeriesQuery.java Line: 6
ibissource-iaf-692484614,https://github.com/ibissource/iaf/compare/b1c85e83d5e897ed0acfba0a7c2d1e791080f08f...98c3de3a60adc45d86478d37c026ab03baf0edde,2020-05-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: ToJson.java Line: 51
apache-maven-12749443626,https://github.com/apache/maven/compare/7446b300017fcabe9f0f8dd0feda2ce94af25800...4f863c5f81c7f94e3daa793f09c46c31bd989332,2023-04-14,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: MavenCli.java Line: 3
broadinstitute-picard-14294971046,https://github.com/broadinstitute/picard/compare/3d131d7993ca735ea7ab4927d1d1f6858d16e543...573939b42d8389efb95ac36dd10d9cbd34ccaec6,2023-06-15,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: CollectSamErrorMetrics.java Line: 6
JabRef-jabref-10036120120,https://github.com/JabRef/jabref/compare/accaa3affd03ca90c497c5b6f0c8ab5cc1d64857...5ed65f9d665a138961206ad64f843a0faa413973,2022-12-12,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: SourceTabTest.java Line: 52
JabRef-jabref-13078638558,https://github.com/JabRef/jabref/compare/eaeb92b9b7cb08072595124d56947a327ca43b68...ff1d2d53421a0a5e8bcc57f29fe733423321583c,2023-04-27,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.8,File: EntryEditorTab.java Line: 39
UniversalMediaServer-UniversalMediaServer-10401542894,https://github.com/UniversalMediaServer/UniversalMediaServer/compare/e5897ac8f67c43aaed871518550f8ff86a74bbfd...def92c8ec469c5b540ed7e63d4e3270f3662edf0,2023-01-04,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: FilePermissions.java Line: 3
puniverse-capsule-48811097,https://github.com/puniverse/capsule/compare/dfd83f2f3f3e5354e07d43ac7a45ef61ddc420d8...397f544b583f5da569a38fab51b7c29097fdb2ce,2015-01-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: CapsuleTest.java Line: 116
dromara-hertzbeat-11790774697,https://github.com/dromara/hertzbeat/compare/371f064e986f7e1388382d9c6d93ea5ba6ccb2c4...b8b7ab7d5a172ba4ec782697170522e923dacdbb,2023-03-06,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,0.2,File: MetricsDataControllerTest.java Line: 132
dromara-hertzbeat-12941625384,https://github.com/dromara/hertzbeat/compare/528be149f11ef996aedd171c7d215aecc3134388...ca2a44102c901bdc2eb60d742f02c5595c62a304,2023-04-22,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: MonitorServiceTest.java Line: 171
mybatis-mybatis-3-117115624,https://github.com/mybatis/mybatis-3/compare/5da14eb064a04cd54dbefe6e8f516a191111e87b...34f7433dea4bb94a96db1246c30feac73ab4695f,2016-03-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.2,File: BlockingCacheTest.java Line: 81
stagemonitor-stagemonitor-131378908,https://github.com/stagemonitor/stagemonitor/compare/81a709a1f46e4f7e69b1bd04a7a5dc8ec84d9a3d...72480f58a342a92cf6c1cd53e21a24ab7d72aee0,2016-05-19,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: ElasticsearchExternalRequestTraceReporterIntegrationTest.java Line: 30
dromara-hertzbeat-15387582023,https://github.com/dromara/hertzbeat/compare/faa8c524657e57f723f94c15e1c57f24117ada6b...2543b07dd47c2f161a5eca791294ef4af178a333,2023-07-27,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: AlertTemplateUtil.java Line: 47
dromara-hertzbeat-15447057348,https://github.com/dromara/hertzbeat/compare/f05de58604d4f4278c9e12caff46f34f6a49d786...d149b275635d42421e577b21a663216db7ad0663,2023-07-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.6,1.0,File: MonitorServiceTest.java Line: 135
dromara-hertzbeat-15680263315,https://github.com/dromara/hertzbeat/compare/842556c05da914a7486761559792e87c4b2d7ef2...749d3fdaecb0f0c15a8f9f6226892147ceae0704,2023-08-08,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: AlertTemplateUtil.java Line: 47
apache-maven-16526228433,https://github.com/apache/maven/compare/a78a94606fbbf032a9ddd854e6bef9dd3792c285...3dc29b6ad06cda2b7b7194e777d425104a150793,2023-09-07,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.4,File: GlobalSettingsTest.java Line: 46
NitorCreations-nflow-197273853,https://github.com/NitorCreations/nflow/compare/050fc78824cac26f234c7c792fbf6161a4f53884...84797e7065ff441c58c87014daea4d1ce483498b,2017-02-01,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: WorkflowInstanceDao.java Line: 6
NitorCreations-nflow-197273837,https://github.com/NitorCreations/nflow/compare/1e7ab2037d684c940c7b657d607daef6a1254b98...746ebaefdd9beed20ac65eb724ad04d205b17fb5,2017-02-01,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: DatabaseConfiguration.java Line: 60
dromara-hertzbeat-12135512865,https://github.com/dromara/hertzbeat/compare/f7d53852e1c91bd02ce5488fe73a9977a64ac8a0...12346704e138992b2f03c61a2a588698fa13d466,2023-03-21,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: MetricsDataController.java Line: 156
dromara-hertzbeat-12624254643,https://github.com/dromara/hertzbeat/compare/3d73684e17b365db760b381fbec9cc9d3c17903f...9ad17b61e1a4af35df7207103ef2075fc2f2eee7,2023-04-10,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.8,1.0,File: MonitorServiceTest.java Line: 135
graphql-java-graphql-java-16166237459,https://github.com/graphql-java/graphql-java/compare/2a63d23a76d01d916f4f56bbec8734a27281ab7c...dbbba7e2c27cae920ba0e7d2d2d2ad9f67856d6f,2023-08-28,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.4,File: GraphQL.java Line: 3
igniterealtime-Openfire-16438509468,https://github.com/igniterealtime/Openfire/compare/e4e76df55c58dd7f3bb129189f70ce35b1094d0c...c9d1b10837e6e0b7154f155edc1eb0e9ea485111,2023-09-02,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.2,File: Fixtures.java Line: 6
openpnp-openpnp-213669200,https://github.com/openpnp/openpnp/compare/0b2a2c1a39d23897185df863592f55acd646ddff...c2cca98aa880f411901347118eee5b856c023e58,2017-03-22,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: FiniteStateMachine.java Line: 32
square-okhttp-93618854,https://github.com/square/okhttp/compare/fe4f5e617011cbbd3c7f27af582b3cb578b2e652...afc415362addd89ee1eeba7bf690dc27d310a19d,2015-11-28,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.0,File: UrlConnectionCacheTest.java Line: 3
polarismesh-polaris-java-20954013161,https://github.com/polarismesh/polaris-java/compare/50fdf132b2d7e1160cf2e397d515fcb93fdb629b...cca2aaf0bfe1b0d550054da980d689361e74d254,2024-01-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: DefaultConsumerAPI.java Line: 180
OneBusAway-onebusaway-gtfs-modules-21018266842,https://github.com/OneBusAway/onebusaway-gtfs-modules/compare/5039d899d597eb2b25be4b8f08101d7addf40e59...266852aca5b05b68c2a994ee4d3f9e35f1415ce2,2024-01-30,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.8,0.0,File: HibernateGtfsRelationalDaoImplCaltrainTest.java Line: 249
hibernate-hibernate-orm-20866966972,https://github.com/hibernate/hibernate-orm/compare/15b103cd92e014542ddb27f172879d1008532561...9f1a5f10935757d57c50b44c1f0bd2991949f24f,2024-01-25,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.4,0.0,File: FunctionTests.java Line: 2176
hibernate-hibernate-orm-20908206448,https://github.com/hibernate/hibernate-orm/compare/e19a4b26f941561c288da17cfd23d42ae767c3c3...2b6b80723110311e6e4bfb1d3334ebbfd3107b72,2024-01-29,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,0.8,File: EnumeratedWithMappedSuperclassTest.java Line: 80
Together-Java-TJ-Bot-20984057623,https://github.com/Together-Java/TJ-Bot/compare/50cfb1e9ed8b3f52b57281d60ed3fbf3a59df26a...b6e5c8a3b886ba4b1702799978f3312e95402e58,2024-02-01,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: JdaTester.java Line: 3
apache-commons-compress-20911279033,https://github.com/apache/commons-compress/compare/ea6ea52abb69bc4e261f80cdb4a7c3ffbcc1b06b...c052d61838fdda8e8a58d9b1e47e3f9024555ce9,2024-01-26,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,1.0,File: DumpTest.java Line: 88
esaulpaugh-headlong-20707840716,https://github.com/esaulpaugh/headlong/compare/3d15ddb4955e8852cc6670e9f7a161f9b513bb76...2ca851fdd7f8a433e9bf9750b663cf3f7dc1254b,2024-01-22,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: TupleType.java Line: 288
gchq-Gaffer-20581963791,https://github.com/gchq/Gaffer/compare/0680e0a34435299e3804d09acf9af699a3363d27...ae3e4a367214f7a58383d17759f04c06561c93d3,2024-01-17,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.6,File: FederatedStoreCache.java Line: 130
sfuhrm-radiobrowser4j-20281662813,https://github.com/sfuhrm/radiobrowser4j/compare/7296f66f29acf820787a6d5e534f5cb8680c5f77...553c8af154c3fa7f116ab2bf870281d3054da027,2024-01-08,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,1.0,1.0,File: AdvancedSearchTest.java Line: 181
eclipse-jnosql-20071093493,https://github.com/eclipse/jnosql/compare/40c8268d40fbddfe6710c408d1cc3a49c982e1c5...e9de1383d1159fcf851c1e017fce5814068bbef3,2024-01-01,5,gpt-4o-mini-2024-07-18,2024-07-18,CWE + CoT,0.0,0.0,File: AnnotationOperation.java Line: 150
